Seed,Plastic Accuracy (%),Contaminant Hamming Loss (%),Overall Exact Match (%)
1,96.20253164556962,0.5274261603375527,94.30379746835443
21,97.46835443037975,0.21097046413502107,96.20253164556962
41,92.40506329113924,0.8438818565400843,89.87341772151899
61,97.46835443037975,0.7383966244725738,95.56962025316456
81,97.46835443037975,1.0548523206751055,94.9367088607595
101,96.20253164556962,0.0,96.20253164556962
121,92.40506329113924,0.21097046413502107,91.13924050632912
141,100.0,0.21097046413502107,98.73417721518987
161,100.0,1.6877637130801686,94.9367088607595
181,94.9367088607595,0.21097046413502107,93.67088607594937
201,96.20253164556962,0.31645569620253167,95.56962025316456
221,98.73417721518987,0.6329113924050633,94.9367088607595
241,93.67088607594937,0.21097046413502107,93.67088607594937
261,98.73417721518987,0.8438818565400843,97.46835443037975
281,96.20253164556962,0.21097046413502107,96.20253164556962
301,97.46835443037975,0.0,97.46835443037975
321,94.9367088607595,0.31645569620253167,94.30379746835443
341,97.46835443037975,0.42194092827004215,96.20253164556962
361,96.20253164556962,0.7383966244725738,95.56962025316456
381,96.20253164556962,1.4767932489451476,92.40506329113924
401,96.20253164556962,0.31645569620253167,95.56962025316456
421,97.46835443037975,0.0,97.46835443037975
441,91.13924050632912,0.7383966244725738,89.24050632911393
461,94.9367088607595,0.8438818565400843,93.67088607594937
481,93.67088607594937,0.5274261603375527,91.77215189873418
